AbleVarghese	https://github.com/AbleVarghese/AbleVarghese	2026-09-24T11:42:34Z	Python	portfolio	Profile: verified portfolio metrics. 5.85M lines delivered · 12,424 commits · 10 platforms + published research, built with agentic engineering
AbleVarghese.github.io	https://github.com/AbleVarghese/AbleVarghese.github.io	2026-09-14T22:18:07Z	HTML	personal-website,portfolio,zero-dependencies	Portfolio: ablevarghese.github.io
ChurchCRM-Abled	https://github.com/AbleVarghese/ChurchCRM-Abled	2026-08-03T02:43:59Z			ChurchCRM - A free and open-source Church Management Software (ChMS) to help churches manage their membership data, groups, events, and finances.
CompAI-Agentic-crm-Abled	https://github.com/AbleVarghese/CompAI-Agentic-crm-Abled	2026-08-03T02:51:21Z			An open-source, agentic-first CRM.
CowAgent-Abled	https://github.com/AbleVarghese/CowAgent-Abled	2026-08-31T17:50:19Z			Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, self-evolves with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, one-line install. (formerly chatgpt-on-wechat)
CrewAI-Studio-Abled	https://github.com/AbleVarghese/CrewAI-Studio-Abled	2026-06-29T09:33:55Z			A user-friendly, multi-platform GUI for managing and running CrewAI agents and tasks. Supports Conda and virtual environments, no coding needed. 
DaybydayCRM-Abled	https://github.com/AbleVarghese/DaybydayCRM-Abled	2026-08-03T02:46:27Z			DaybydayCRM an open-source CRM, to help you keep track of your daily workflow.
Django-CRM-Abled	https://github.com/AbleVarghese/Django-CRM-Abled	2026-08-03T02:45:56Z			Open Source CRM for Startups and enterprises. Django + SvelteKit · Self-hosted · Multi-tenant · Free forever
ECC-Abled	https://github.com/AbleVarghese/ECC-Abled	2026-09-22T16:08:25Z			The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.
LangBot-Abled	https://github.com/AbleVarghese/LangBot-Abled	2026-06-29T09:14:23Z			Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台/ Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ / Matrix e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, GLM, Ollama, SiliconFlow, Moonshot, openclaw / hermes agent, deerflow
OpenStock-Abled	https://github.com/AbleVarghese/OpenStock-Abled	2026-07-05T19:45:01Z			OpenStock is an open-source alternative to expensive market platforms. Track real-time prices, set personalized alerts, and explore detailed company insights — built openly, for everyone, forever free.
Provenance-First-Wiki	https://github.com/AbleVarghese/Provenance-First-Wiki	2026-08-22T20:56:15Z		knowledge-base,knowledge-management,llm,llm-agents,personal-knowledge-management,provenance,rag,research-paper,retrieval,second-brain	Why the LLM Wiki pattern breaks past 1,000 files, and the five invariants that fix it. A quote is a pointer, not a copy. Paper + full decision record. Free to read noncommercially with attribution; commercial use licensed.
QuantDinger-Abled	https://github.com/AbleVarghese/QuantDinger-Abled	2026-07-19T10:02:54Z			AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading
ai-Abled	https://github.com/AbleVarghese/ai-Abled	2026-06-29T09:27:41Z			The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents 
annotated_deep_learning_paper_implementations-Abled	https://github.com/AbleVarghese/annotated_deep_learning_paper_implementations-Abled	2026-06-29T08:53:22Z			🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠
browser-use-Abled	https://github.com/AbleVarghese/browser-use-Abled	2026-06-29T09:42:48Z			🌐 Make websites accessible for AI agents. Automate tasks online with ease.
career-ops-Abled	https://github.com/AbleVarghese/career-ops-Abled	2026-09-01T09:35:02Z			AI-powered job search system built on Claude Code. 14 skill modes, Go dashboard, PDF generation, batch processing.
claude-adapter-Abled	https://github.com/AbleVarghese/claude-adapter-Abled	2026-07-05T02:47:34Z			Transform your OpenAI API into an Anthropic-compatible endpoint for Claude Code
codebase-memory-mcp-Abled	https://github.com/AbleVarghese/codebase-memory-mcp-Abled	2026-07-23T17:09:26Z			High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.
comp-Abled	https://github.com/AbleVarghese/comp-Abled	2026-08-03T02:50:31Z			AI Native platform to get companies compliant - Vanta & Drata Alternative
consulting-handbook-Abled	https://github.com/AbleVarghese/consulting-handbook-Abled	2026-06-30T03:29:46Z			A guide for technical professionals looking to start consulting
