candidate	family	admission_role	source_license_spdx	source_license_name	source_license_file	license_endpoint	language	stars	forks	open_issues	created_at	updated_at	pushed_at	latest_release	latest_release_at	default_branch	repo_size_kb	has_discussions	has_projects	readme_bytes	readme_excerpt_file
appsmithorg/appsmith	internal-admin	possible self-hosted admin foundation	Apache-2.0	Apache License 2.0	LICENSE	available	TypeScript	40927	4766	4485	2020-06-30T04:07:36Z	2026-09-23T14:19:59Z	2026-09-23T14:00:46Z	v2.4.1	2026-09-17T07:47:01Z	release	816787	False	True	12017	appsmithorg__appsmith.readme-excerpt.md
ToolJet/ToolJet	internal-admin	comparison/reference only unless approved isolated service	AGPL-3.0	GNU Affero General Public License v3.0	LICENSE	available	JavaScript	40980	5452	1241	2021-03-30T08:51:34Z	2026-09-23T14:19:57Z	2026-09-23T15:46:22Z	v3.20.232-lts	2026-09-23T09:35:56Z	main	1711938	True	True	9813	ToolJet__ToolJet.readme-excerpt.md
refinedev/refine	internal-admin	possible framework candidate	MIT	MIT License	LICENSE	available	TypeScript	35715	3216	47	2021-01-20T12:01:32Z	2026-09-23T10:00:57Z	2026-09-10T12:56:35Z	@refinedev/core@5.0.12	2026-04-02T16:44:33Z	main	8285184	True	False	10233	refinedev__refine.readme-excerpt.md
nocobase/nocobase	internal-admin	possible self-hosted admin foundation	NOASSERTION	Other	LICENSE.txt	available	TypeScript	24332	2890	304	2020-10-24T07:27:48Z	2026-09-23T15:26:36Z	2026-09-23T13:21:01Z	v2.2.16	2026-09-21T01:31:35Z	main	356889	False	False	6714	nocobase__nocobase.readme-excerpt.md
baserow/baserow	internal-admin	possible data/admin foundation	NOASSERTION	Other	LICENSE	available	Python	5979	740	1244	2020-07-20T09:32:04Z	2026-09-23T14:39:38Z	2026-09-23T15:42:46Z	2.3.4	2026-09-15T15:38:09Z	develop	266565	False	False	5446	baserow__baserow.readme-excerpt.md
Budibase/budibase	internal-admin	possible self-hosted admin foundation	NOASSERTION	Other	LICENSE	available	TypeScript	28300	2220	264	2019-06-07T11:03:41Z	2026-09-23T14:07:46Z	2026-09-23T14:48:34Z	v3.46.0	2026-09-21T09:04:24Z	master	787427	True	True	8426	Budibase__budibase.readme-excerpt.md
cortezaproject/corteza	internal-admin	possible admin/CRM platform	Apache-2.0	Apache License 2.0	LICENSE	available	Go	2165	519	240	2019-05-21T19:59:46Z	2026-09-23T14:05:15Z	2026-09-16T09:41:42Z	2024.9.10	2026-08-27T14:41:31Z	2024.9.x	126075	True	False	5918	cortezaproject__corteza.readme-excerpt.md
twentyhq/twenty	crm	possible CRM candidate	NOASSERTION	Other	LICENSE	available	TypeScript	57348	9252	144	2022-12-01T13:04:40Z	2026-09-23T16:12:27Z	2026-09-23T16:12:21Z	sdk/v2.41.0	2026-09-23T13:36:15Z	main	1950143	True	True	11989	twentyhq__twenty.readme-excerpt.md
espocrm/espocrm	crm	comparison/reference only unless approved isolated service	AGPL-3.0	GNU Affero General Public License v3.0	LICENSE.txt	available	PHP	3383	977	63	2014-09-25T13:38:46Z	2026-09-23T13:25:40Z	2026-09-23T07:46:40Z	10.0.8	2026-09-08T12:05:05Z	master	90899	False	False	5303	espocrm__espocrm.readme-excerpt.md
krayin/laravel-crm	crm	possible CRM candidate	MIT	MIT License	LICENSE	available	PHP	23935	1637	119	2021-06-05T14:18:48Z	2026-09-23T15:37:40Z	2026-09-21T06:01:09Z	v2.2.6	2026-09-10T12:21:01Z	2.2	54509	True	True	5991	krayin__laravel-crm.readme-excerpt.md
SuiteCRM/SuiteCRM	crm	comparison/reference only unless approved isolated service	AGPL-3.0	GNU Affero General Public License v3.0	LICENSE.txt	available	PHP	5763	2422	1387	2013-09-23T19:10:08Z	2026-09-23T15:43:19Z	2026-09-17T14:14:36Z	v7.15.2	2026-07-31T13:37:50Z	hotfix	147759	False	False	6215	SuiteCRM__SuiteCRM.readme-excerpt.md
Dolibarr/dolibarr	crm-erp	comparison/reference only unless approved isolated service	GPL-3.0	GNU General Public License v3.0	COPYING	available	PHP	7650	3535	1025	2011-06-26T21:55:03Z	2026-09-23T15:40:36Z	2026-09-23T15:40:27Z	24.0.1	2026-09-07T12:58:22Z	develop	1740110	False	True	11681	Dolibarr__dolibarr.readme-excerpt.md
frappe/erpnext	erp	owner-reuse/reference candidate	GPL-3.0	GNU General Public License v3.0	license.txt	available	Python	39494	12906	1849	2011-06-08T08:20:56Z	2026-09-23T16:02:03Z	2026-09-23T16:12:07Z	v16.35.0	2026-09-15T18:46:19Z	develop	1919155	False	True	7442	frappe__erpnext.readme-excerpt.md
odoo/odoo	erp	comparison/reference only pending direct licence check	NOASSERTION	Other	LICENSE	available	Python	54538	33810	10545	2014-05-13T15:38:58Z	2026-09-23T15:24:20Z	2026-09-23T16:10:01Z		status=unavailable rc=1 endpoint=repos/odoo/odoo/releases/latest	19.0	17835422	False	False	2044	odoo__odoo.readme-excerpt.md
invoiceninja/invoiceninja	client-finance	comparison/reference only pending direct licence check	NOASSERTION	Other	LICENSE	available	PHP	10105	2709	208	2013-11-26T12:30:05Z	2026-09-23T12:46:15Z	2026-09-22T02:40:10Z	v5.13.43	2026-09-18T00:10:15Z	v5-stable	4236481	True	True	8617	invoiceninja__invoiceninja.readme-excerpt.md
